    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
        62      3.63941228e+00      3.75711776e+00      3.75711776e+00     -0.00000000e+00                          0.00000000e+00    
        63      1.20973359e+01      1.21571087e+01      1.21571087e+01     -0.00000000e+00                          0.00000000e+00    
        64      6.42915318e+00      6.41642515e+00      6.41642515e+00     -0.00000000e+00                          0.00000000e+00    
        65      4.38619418e+00      4.38449418e+00      4.38449418e+00     -0.00000000e+00                          0.00000000e+00    
        66      5.46412913e+00      5.42847599e+00      5.42847599e+00     -0.00000000e+00                          0.00000000e+00    
        67      4.28584179e+00      4.28582987e+00      4.28582987e+00     -0.00000000e+00                          0.00000000e+00    
        68      4.75998325e+00      4.78488413e+00      4.78488413e+00     -0.00000000e+00                          0.00000000e+00    
        69      6.42076614e+00      6.44572052e+00      6.44572052e+00     -0.00000000e+00                          0.00000000e+00    
        70      2.70335037e+00      2.74808188e+00      2.74808188e+00     -0.00000000e+00                          0.00000000e+00    
        71      3.59437235e+00      3.59522573e+00      3.59522573e+00     -0.00000000e+00                          0.00000000e+00    
        72      3.58203194e+00      3.55529752e+00      3.55529752e+00     -0.00000000e+00                          0.00000000e+00    
        73      4.90642909e+00      4.87835985e+00      4.87835985e+00     -0.00000000e+00                          0.00000000e+00    
        74      6.64044089e+00      6.75865880e+00      6.75865880e+00     -0.00000000e+00                          0.00000000e+00    
        75      5.97340409e+00      5.95444794e+00      5.95444794e+00     -0.00000000e+00                          0.00000000e+00    
        76      2.68913358e+00      2.64243028e+00      2.64243028e+00     -0.00000000e+00                          0.00000000e+00    
        77      6.78377591e+00      6.79220473e+00      6.79220473e+00     -0.00000000e+00                          0.00000000e+00    
        78      5.44968399e+00      5.43591634e+00      5.43591634e+00     -0.00000000e+00                          0.00000000e+00    
        79      3.34336555e+00      3.32723921e+00      3.32723921e+00     -0.00000000e+00                          0.00000000e+00    
        80      9.10729082e+00      8.81699458e+00      8.81699458e+00     -0.00000000e+00                          0.00000000e+00    
        81      4.71954208e+00      4.79049616e+00      4.79049616e+00     -0.00000000e+00                          0.00000000e+00    
        82      3.41544229e+00      3.41135318e+00      3.41135318e+00     -0.00000000e+00                          0.00000000e+00    
        83      2.26301932e+00      2.27068244e+00      2.27068244e+00     -0.00000000e+00                          0.00000000e+00    
        84      4.50513853e+00      4.46386838e+00      4.46386838e+00     -0.00000000e+00                          0.00000000e+00    
        85      6.83917653e+00      6.76721726e+00      6.76721726e+00     -0.00000000e+00                          0.00000000e+00    
        86      5.95299359e+00      5.97234621e+00      5.97234621e+00     -0.00000000e+00                          0.00000000e+00    
        87      4.66670986e+00      4.67532033e+00      4.67532033e+00     -0.00000000e+00                          0.00000000e+00    
