#     index      Reference     Calculated        Error^2    
       103 3.95615967e+00 4.00221967e+00 2.12152316e-03    
       104 7.90116522e+00 7.88780642e+00 1.78457509e-04    
       105 3.85677284e+00 3.86999282e+00 1.74767763e-04    
       106 3.69505587e+00 3.65996391e+00 1.23144554e-03    
       107 4.37162391e+00 4.31505743e+00 3.19976686e-03    
       108 3.53271001e+00 3.54685729e+00 2.00145575e-04    
       109 4.35013008e+00 4.37550418e+00 6.43845364e-04    
       110 5.79636321e+00 5.80210446e+00 3.29619400e-05    
       111 4.94129037e+00 5.03060192e+00 7.97655150e-03    
       112 4.53539196e+00 4.50743472e+00 7.81607088e-04    
       113 2.45053321e+00 2.45847040e+00 6.29990203e-05    
       114 3.96173051e+00 3.98705774e+00 6.41468227e-04    
       115 4.92332748e+00 4.92020810e+00 9.73048645e-06    
       116 2.62521308e+00 2.64130423e+00 2.58925011e-04    
       117 5.54830395e+00 5.54997369e+00 2.78803808e-06    
       118 2.54661087e+00 2.56121907e+00 2.13399573e-04    
       119 3.09258729e+00 3.12690427e+00 1.17765538e-03    
       120 6.53558154e+00 6.50789595e+00 7.66492263e-04    
       121 2.68085686e+00 2.69867314e+00 3.17420069e-04    
       122 4.76272659e+00 4.77256417e+00 9.67779754e-05    
       123 3.38074660e+00 3.39893194e+00 3.30706684e-04    
       124 1.12071435e+01 1.11752003e+01 1.02037178e-03    
       125 3.75888513e+00 3.77845962e+00 3.83160862e-04    
       126 3.47962402e+00 3.52354768e+00 1.92928761e-03    
       127 3.61030582e+00 3.64114822e+00 9.51253751e-04    
       128 2.74677748e+00 2.77006520e+00 5.42318005e-04    
       129 4.60522498e+00 4.70152003e+00 9.27273645e-03    
       130 2.58178736e+00 2.58661613e+00 2.33170856e-05    
       131 6.39414712e+00 6.45693934e+00 3.94286243e-03    
       132 6.94782559e+00 6.93903286e+00 7.73120836e-05    
       133 3.20361843e+00 3.19282033e+00 1.16598972e-04    
       134 5.72837614e+00 5.67573013e+00 2.77160171e-03    
       135 3.13546990e+00 3.12373605e+00 1.37683309e-04    
       136 3.77490971e+00 3.72077522e+00 2.93054305e-03    
       137 3.93596416e+00 3.91937336e+00 2.75254679e-04    
       138 4.33600019e+00 4.34367165e+00 5.88512609e-05    
       139 4.14445650e+00 4.18460109e+00 1.61158804e-03    
       140 2.44857770e+00 2.46849047e+00 3.96518550e-04    
       141 3.08809789e+00 3.08730293e+00 6.31961640e-07    
       142 4.48965612e+00 4.51180427e+00 4.90540615e-04    
       143 3.44562010e+00 3.48368099e+00 1.44863137e-03    
       144 5.23543324e+00 5.25984241e+00 5.95807162e-04    
       145 8.28050586e+00 8.27982988e+00 4.56948370e-07    
       146 4.81800604e+00 4.84546663e+00 7.54084234e-04    
       147 6.59849232e+00 6.59749829e+00 9.88093062e-07    
       148 5.05423524e+00 5.03767659e+00 2.74188746e-04    
       149 5.85023716e+00 5.95892497e+00 1.18130407e-02    
       150 3.42750196e+00 3.41099758e+00 2.72394269e-04    
       151 7.84393510e+00 7.91781078e+00 5.45761595e-03    
       152 5.05494753e+00 5.03459614e+00 4.14178729e-04    
       153 3.99805026e+00 3.97615496e+00 4.79404034e-04    
       154 4.51414141e+00 4.58398586e+00 4.87824620e-03    
       155 4.20402447e+00 4.06905408e+00 1.82170082e-02    
       156 2.04880585e+00 2.03536853e+00 1.80561471e-04    
       157 6.49280799e+00 6.51293924e+00 4.05267167e-04    
       158 3.05697920e+00 2.97697324e+00 6.40095321e-03    
       159 2.94437488e+00 2.96807348e+00 5.61623367e-04    
       160 5.10303345e+00 5.03767229e+00 4.27208191e-03    
       161 3.65837769e+00 3.65671925e+00 2.75041557e-06    
       162 3.91933861e+00 3.94677846e+00 7.52945238e-04    
       163 5.40351956e+00 5.45913902e+00 3.09352367e-03    
       164 4.32528171e+00 4.30886676e+00 2.69450369e-04    
       165 4.33636302e+00 4.33132855e+00 2.53459466e-05    
       166 4.22782597e+00 4.26574590e+00 1.43792109e-03    
       167 3.55101508e+00 3.54422232e+00 4.61416396e-05    
       168 5.59534996e+00 5.60395175e+00 7.39907776e-05    
       169 4.53599619e+00 4.57852312e+00 1.80854009e-03    
       170 4.42374434e+00 4.46599486e+00 1.78510642e-03    
       171 3.29218688e+00 3.34064099e+00 2.34780072e-03    
       172 9.12021846e+00 9.14431597e+00 5.80690222e-04    
       173 4.19338317e+00 4.19372909e+00 1.19660703e-07    
       174 4.22183840e+00 4.20664838e+00 2.30736840e-04    
       175 2.81420940e+00 2.77923566e+00 1.22316263e-03    
       176 3.45314532e+00 3.48575567e+00 1.06343488e-03    
       177 5.08801125e+00 5.09842023e+00 1.08346835e-04    
       178 5.19238133e+00 5.21885860e+00 7.01045986e-04    
       179 4.44377288e+00 4.47874788e+00 1.22325111e-03    
       180 4.24666318e+00 4.21141867e+00 1.24217525e-03    
       181 4.56628814e+00 4.54185872e+00 5.96796773e-04    
       182 5.16063292e+00 5.18905208e+00 8.07648643e-04    
       183 2.91168703e+00 2.90279015e+00 7.91545194e-05    
       184 5.96265611e+00 5.96629004e+00 1.32054344e-05    
       185 4.20451657e+00 4.19489698e+00 9.25364064e-05    
       186 3.30687292e+00 3.34518937e+00 1.46815015e-03    
       187 2.43033048e+00 2.43297117e+00 6.97324801e-06    
       188 2.57463174e+00 2.53092256e+00 1.91049241e-03    
       189 4.08456964e+00 4.00931661e+00 5.66301825e-03    
       190 5.16561014e+00 5.21360507e+00 2.30351364e-03    
       191 2.77504848e+00 2.77359848e+00 2.10249830e-06    
       192 2.85011900e+00 2.83202773e+00 3.27294259e-04    
       193 1.78284600e+00 1.81076164e+00 7.79282952e-04    
       194 6.30315555e+00 6.25663943e+00 2.16374935e-03    
       195 3.52645210e+00 3.51090820e+00 2.41613007e-04    
       196 3.51459437e+00 3.48214462e+00 1.05298628e-03    
       197 4.60020340e+00 4.65422313e+00 2.91813201e-03    
       198 5.88211288e+00 5.88138768e+00 5.25914663e-07    
       199 2.10969453e+00 2.15149680e+00 1.74742971e-03    
       200 3.40982903e+00 3.43543495e+00 6.55662970e-04    
       201 3.25002169e+00 3.22400212e+00 6.77018075e-04    
       202 3.21252706e+00 3.19709242e+00 2.38228202e-04    
       203 3.92863322e+00 3.98005768e+00 2.64447492e-03    
       204 4.80701376e+00 4.84119843e+00 1.16859132e-03    
       205 6.54635889e+00 6.59541292e+00 2.40629720e-03    
       206 4.51823855e+00 4.48551240e+00 1.07100074e-03    
       207 5.56750235e+00 5.50631377e+00 3.74404204e-03    
       208 5.24524548e+00 5.26115408e+00 2.53083535e-04    
       209 4.78139732e+00 4.79518880e+00 1.90204811e-04    
       210 3.44279511e+00 3.48383319e+00 1.68412326e-03    
       211 3.92421298e+00 3.99013802e+00 4.34611116e-03    
       212 4.95966442e+00 4.99756053e+00 1.43611562e-03    
       213 8.26923165e+00 8.19214810e+00 5.94187367e-03    
       214 2.85232903e+00 2.81499479e+00 1.39384513e-03    
       215 4.23198849e+00 4.24129890e+00 8.66837481e-05    
       216 3.45644922e+00 3.45664218e+00 3.72334647e-08    
       217 6.80746515e+00 6.85126706e+00 1.91860736e-03    
       218 4.02795291e+00 4.02627639e+00 2.81071351e-06    
       219 8.09434595e+00 8.09304968e+00 1.68033235e-06    
       220 4.29512109e+00 4.38949978e+00 8.90733784e-03    
       221 7.50891921e+00 7.56487050e+00 3.13054752e-03    
       222 4.96341630e+00 4.86402409e+00 9.87881088e-03    
       223 1.87638996e+00 1.85662486e+00 3.90659225e-04    
       224 4.87304138e+00 4.92914121e+00 3.14719083e-03    
       225 4.60477003e+00 4.64563182e+00 1.66968565e-03    
       226 4.63113196e+00 4.60680719e+00 5.91694334e-04    
       227 1.64499264e+00 1.62880913e+00 2.61906056e-04    
       228 2.82375620e+00 2.80842983e+00 2.34897550e-04    
       229 2.69031958e+00 2.65232720e+00 1.44342067e-03    
       230 3.46379290e+00 3.42068837e+00 1.85800042e-03    
